WKT,osm_id,name,waterway
"LINESTRING (17.2430689 49.5745859,17.2440364 49.5720654,17.244151 49.5718043,17.2442672 49.5714687,17.2443049 49.571056,17.2442845 49.5708018,17.2441798 49.5697229,17.2439037 49.5678146,17.2436347 49.5657384,17.2433334 49.5634842,17.2431936 49.5614636,17.2431906 49.5611276,17.2431746 49.5610042)","32734052",,stream
"LINESTRING (17.2363243 49.5686034,17.2364635 49.5686115,17.2367484 49.5686063,17.2372223 49.5685751,17.2374193 49.5685699,17.2375634 49.5685616,17.2376706 49.5684983,17.2377427 49.5684017,17.2377822 49.5683003,17.2377923 49.568192,17.2377507 49.567758,17.2377171 49.5674382,17.2374593 49.5659689,17.2373024 49.5650946,17.2373072 49.5649918,17.2373696 49.5648381,17.2375345 49.5643573,17.237607 49.5641826,17.2379488 49.5638841,17.238409 49.5635176,17.2393159 49.562956,17.2397426 49.5627218,17.2403549 49.5624594,17.2415489 49.5619185,17.2420183 49.5616672,17.2424694 49.5613746,17.2426927 49.5612209,17.2428796 49.5611056,17.2431746 49.5610042)","32734059",Nemilanka,stream
"LINESTRING (17.2021096 49.6453899,17.2023078 49.6453299,17.2039382 49.6445847,17.2051882 49.6439719,17.2058467 49.6436987,17.2075538 49.6431046,17.2081389 49.6428975,17.2083725 49.6427222,17.2084959 49.642662)","35917271",,stream
"LINESTRING (17.1288693787376 49.6019252568293,17.1288931 49.6019149,17.1301346 49.6013864,17.1304599 49.6012463,17.1310611 49.6009941,17.1317405 49.6007006,17.1321317 49.6004737,17.1324015 49.6002896,17.1325909 49.6000534,17.1327926 49.5997825,17.1330768 49.5993715,17.1332456 49.599166,17.1332435 49.5990272,17.1333774 49.5981891,17.1334618 49.5975659,17.1334762 49.5973364,17.1334227 49.597191,17.1333383 49.5969694,17.133293 49.5966958,17.1333259 49.5964543,17.1334391 49.5961767,17.1335956 49.5960019,17.1338077 49.5958124,17.1342071 49.5955388,17.1346395 49.5951972,17.1348248 49.5949956,17.1348495 49.5948822,17.1349364 49.5944401,17.1349195 49.5942723,17.1348145 49.5940254,17.1346066 49.5937758,17.1341083 49.5932327,17.1335565 49.5926254,17.1331488 49.5921636,17.1328297 49.5918193,17.1326753 49.5916244,17.1326135 49.5915003,17.1325991 49.5913348,17.1327618 49.5910065,17.1328132 49.5908463,17.1327741 49.5906555,17.1327353 49.5904824,17.1326673 49.5903375,17.1326235 49.5900148,17.1326163 49.5898841,17.1326381 49.5897692,17.13266 49.5896842,17.1327255 49.589574,17.1327255 49.5894905,17.1327839 49.5892005,17.1328248 49.589045,17.1328833 49.5889249,17.1329067 49.5886202,17.1329672 49.5882902,17.1330501 49.5879802,17.1332597 49.5869799,17.1335908 49.5853874,17.1336883 49.5850125,17.1337923 49.5847709,17.1338806 49.5845912,17.134063 49.5842581,17.1342784 49.58386,17.1343978 49.5836125,17.1343978 49.5835531,17.1345065 49.5834508,17.1346536 49.5831163,17.1347133 49.5829394,17.134918 49.5825897,17.1350672 49.5822386,17.1351632 49.5820499,17.1352768 49.5818473,17.1355248 49.5815327,17.135802 49.5812106,17.1362113 49.5807544,17.1366127 49.5803121,17.1369458 49.5799492,17.1373722 49.5794637,17.137668 49.5791354,17.1381424 49.5785686,17.1386194 49.5780398,17.1393244 49.5771832,17.1394421 49.5769985,17.1397719 49.5764618,17.1400896 49.5759295,17.1403263 49.5755853,17.1406354 49.5750544,17.1411705 49.5742111,17.1415735 49.5735903,17.1418208 49.5731839,17.1420873 49.5727857,17.1422514 49.5725037,17.1424022 49.5722929,17.1425959 49.572025,17.1428953 49.5716409,17.1434901 49.5710243,17.1441233 49.5703745,17.14449 49.569986,17.1452852 49.5691813,17.1455682 49.5688691,17.1460555 49.5684459,17.1464198 49.5682381,17.1471939 49.5679302,17.1484493 49.5673934,17.1502991 49.5666435,17.1509481 49.5663273,17.1513227 49.5659985,17.1518846 49.5654603,17.1524723 49.5648592,17.1535564 49.5637586,17.1539795 49.5633251,17.1550103 49.5622729,17.1553062 49.5619318,17.1554289 49.5616385,17.1554297 49.5611391,17.1552419 49.5604217,17.155324 49.5602177,17.155496 49.5599515,17.1557365 49.559704,17.1559263 49.5595765,17.1561316 49.5594714,17.1568868 49.5593507,17.1569858 49.5593316,17.157607 49.559237,17.1580134 49.5591537,17.1583855 49.5589835,17.1588805 49.5585784,17.1594618 49.5581797,17.1605714 49.5573242,17.1615547 49.5565419,17.1616418 49.5561775,17.161768 49.5558284,17.1621791 49.5553144,17.1626982 49.554878,17.1631617 49.5545185,17.1636665 49.5541353,17.1639584 49.5535516,17.1640854 49.5532487,17.1642285 49.5528902,17.1642097 49.5524562,17.1640813 49.5521129,17.1638172 49.5513422,17.1637018 49.5510521,17.1636661 49.5508418,17.1636413 49.5505406,17.163676 49.5502994,17.1637717 49.5500905,17.1639588 49.5498449,17.1641937 49.5495231,17.164333 49.5492606,17.1643852 49.5490856,17.1643778 49.5488962,17.1643388 49.5486187,17.1642024 49.5483549,17.1639406 49.5480604,17.163665 49.5477858,17.1635731 49.5476485,17.1635341 49.5474227,17.1635341 49.5471174,17.1636455 49.5468572,17.1638209 49.5465483,17.1640826 49.5463315,17.1643889 49.5459954,17.1651407 49.5452404,17.1655282 49.5448956,17.1660264 49.5445113,17.1666519 49.5441701,17.1671834 49.5439797,17.1676816 49.5438396,17.168296 49.5436852,17.1688939 49.5436241,17.1693091 49.5435523,17.16968 49.5432793,17.1698184 49.5430709,17.1699291 49.5427979,17.1700177 49.5424136,17.1700896 49.5419394,17.1700821 49.541412,17.1700169 49.5409706,17.1698978 49.5406285,17.1697816 49.5402405,17.1697476 49.5399744,17.1697816 49.5396531,17.1698355 49.5393367,17.1700791 49.5389253,17.1704865 49.5384333,17.1707664 49.5380816,17.1708727 49.5376953,17.1710369 49.5369556,17.1712266 49.5360208,17.1714307 49.5353843,17.171666 49.5347865,17.1718842 49.5342365,17.1720143 49.5340022,17.1722447 49.5339269,17.1723386 49.5338948,17.1726946 49.5338462,17.1730778 49.5338197,17.1733793 49.5339463,17.1736605 49.5341759,17.1738782 49.534451,17.1740414 49.5346041,17.1743294 49.5347262,17.174699 49.534816,17.1750912 49.5348469,17.1755629 49.5348719,17.1758576 49.5349087,17.1761161 49.5350087,17.1763361 49.5351942,17.176788 49.5356833,17.1770025 49.5359872,17.1772112 49.536196,17.1774606 49.5363431,17.1777044 49.5364075,17.1778744 49.5364424,17.1782429 49.53647,17.178651 49.5364516,17.1794191 49.5363891,17.1798698 49.5363799,17.1803771 49.5363983,17.1812318 49.536473,17.1824364 49.5365908,17.1844782 49.5367588,17.1859803 49.5369059,17.1865075 49.5369151,17.1867429 49.5368772,17.1869978 49.536836,17.1876412 49.5366153,17.1880848 49.5363477,17.18839 49.5360248,17.1885865 49.5357779,17.1887056 49.5354072,17.1886976 49.5350652,17.1886307 49.5346363,17.1885798 49.5343706,17.1886333 49.5339729,17.1887832 49.5337003,17.1889946 49.5334711,17.1893905 49.5331603,17.1897999 49.5329189,17.1904501 49.5325785,17.191012 49.5324396,17.1919434 49.5322965,17.1932045 49.5320703,17.194373 49.5318666,17.1952944 49.5316969,17.1955705 49.5316269,17.1958962 49.5315074,17.1961458 49.5313845,17.1979875 49.5303833,17.2013233 49.5285713,17.2027973 49.5277758,17.2031557 49.5275565,17.2034495 49.5273485,17.2036159 49.5271865,17.2037987 49.5268721,17.2038473 49.5267349,17.2038765 49.5265619,17.203909 49.526355,17.2038858 49.5257366,17.2038766 49.524264,17.2038678 49.5238112,17.2038134 49.523567,17.2036775 49.5231773,17.2034147 49.5226155,17.2030218 49.5217719,17.2025593 49.5208879,17.2024488 49.5205996,17.2023998 49.5201489,17.2024379 49.5198433,17.202473 49.5196746,17.2025828 49.5191529,17.2027527 49.5188794,17.2031173 49.5184703,17.20378 49.5177741,17.204607 49.5169164,17.2048522 49.5166321,17.2052376 49.5162438,17.2055654 49.5158847,17.2058582 49.5156085,17.2061019 49.5153826,17.2064642 49.5151278,17.2069947 49.5148731,17.2074151 49.5147167,17.2074752 49.5146947,17.2078581 49.5146423,17.2088527 49.5145634,17.2100486 49.5144338,17.2106014 49.5143632,17.2113715 49.5141541,17.2120246 49.5138524,17.2130947 49.5133666,17.2134681 49.513227,17.2141999 49.5130467,17.2145284 49.51294,17.2150541 49.5126278,17.2153587 49.5123621,17.2156485 49.5120149,17.2157829 49.5116659,17.2157887066271 49.5115758864868)","50760281",Blata,stream
"LINESTRING (17.2506148 49.549612,17.2506821 49.5493927,17.2512323 49.5484324,17.2517938 49.5473928,17.2518797 49.5473051,17.2571661 49.5477523)","81868078",,stream
"LINESTRING (17.2698758 49.5125613,17.2708012 49.5114587,17.2708282 49.5113856,17.2707795 49.5113129,17.2689491142521 49.5105441831656)","81868445",,stream
"LINESTRING (17.149512 49.6518229,17.1559052 49.6521895,17.157811 49.6537474,17.1581727 49.6537935)","81868595",,stream
"LINESTRING (17.2808586 49.5456932,17.2807412 49.544661,17.2824173 49.541641,17.2827366 49.5412401)","81869504",,stream
"LINESTRING (17.1831964 49.6664596,17.183237 49.6663495,17.1833656 49.6662479,17.1835729 49.6661895,17.1838377 49.6661632,17.1839466 49.666201,17.1840679 49.6662098,17.1844862 49.6664618)","81870583",Malá voda,river
"LINESTRING (17.3499381993747 49.6643872573915,17.3497697 49.6642412,17.3495547 49.6640179,17.349224 49.663828,17.3487685 49.6635373,17.3481365 49.6632074,17.3477706 49.6631325,17.3476914 49.6631525,17.3474517 49.6633239,17.3473011 49.6633632,17.3472154 49.663339,17.3468759 49.663016,17.345799 49.6625304,17.3455345 49.6623824,17.3451671 49.6620832,17.3448952 49.6617354,17.3447642 49.6616217,17.3435943 49.6609865,17.3427287 49.6602888,17.3426021 49.660124,17.3424665 49.6598098,17.3421038 49.6591489,17.342037 49.6590856,17.3412765 49.6584735,17.3410431 49.6582385,17.3408961 49.6580527,17.3407943 49.6578604,17.3405865 49.6576431,17.3402571 49.6574361,17.3398478 49.6572632,17.3394096 49.6571362,17.3391339 49.657096,17.3388693 49.6570044,17.3383482 49.6566696,17.3375045 49.6558341,17.3366053 49.6550219,17.3360026 49.6542883,17.3359787 49.6540455)","81870909",,stream
