Id, Geometry
51010158,"POLYGON ((17.26222038269043 49.527057647705078, 17.262077331542969 49.527042388916016, 17.261873245239258 49.527069091796875, 17.261556625366211 49.527141571044922, 17.261486053466797 49.527179718017578, 17.261466979980469 49.527252197265625, 17.261472702026367 49.527420043945312, 17.261489868164062 49.527565002441406, 17.261512756347656 49.527675628662109, 17.261550903320312 49.527740478515625, 17.261919021606445 49.527797698974609, 17.262092590332031 49.527790069580078, 17.262369155883789 49.527790069580078, 17.262470245361328 49.527774810791016, 17.262474060058594 49.527729034423828, 17.262405395507812 49.52764892578125, 17.262348175048828 49.52752685546875, 17.262336730957031 49.527408599853516, 17.262346267700195 49.527305603027344, 17.262361526489258 49.527187347412109, 17.262327194213867 49.527107238769531, 17.26222038269043 49.527057647705078))"
51010160,"POLYGON ((17.267566680908203 49.544231414794922, 17.267505645751953 49.544189453125, 17.267477035522461 49.5441780090332, 17.267358779907227 49.5442008972168, 17.267238616943359 49.544197082519531, 17.267141342163086 49.544151306152344, 17.26708984375 49.544097900390625, 17.266923904418945 49.543857574462891, 17.266740798950195 49.543617248535156, 17.266521453857422 49.543415069580078, 17.266302108764648 49.543235778808594, 17.266225814819336 49.543174743652344, 17.266122817993164 49.543132781982422, 17.265888214111328 49.543109893798828, 17.265796661376953 49.543087005615234, 17.265716552734375 49.543056488037109, 17.265668869018555 49.543006896972656, 17.265586853027344 49.542976379394531, 17.2654972076416 49.542972564697266, 17.265405654907227 49.542991638183594, 17.26533317565918 49.543003082275391, 17.265289306640625 49.543045043945312, 17.265275955200195 49.543121337890625, 17.2653751373291 49.543262481689453, 17.265541076660156 49.543502807617188, 17.265714645385742 49.543708801269531, 17.265829086303711 49.543804168701172, 17.265970230102539 49.543876647949219, 17.266281127929688 49.543972015380859, 17.266414642333984 49.544036865234375, 17.26655387878418 49.544147491455078, 17.266624450683594 49.544231414794922, 17.26679801940918 49.544452667236328, 17.266960144042969 49.544670104980469, 17.267127990722656 49.544925689697266, 17.267223358154297 49.545063018798828, 17.267288208007812 49.545108795166016, 17.267423629760742 49.545124053955078, 17.267616271972656 49.545063018798828, 17.267728805541992 49.544963836669922, 17.267856597900391 49.544845581054688, 17.267911911010742 49.544834136962891, 17.268009185791016 49.5447883605957, 17.268039703369141 49.544750213623047, 17.268032073974609 49.544635772705078, 17.267984390258789 49.5445671081543, 17.267902374267578 49.54449462890625, 17.267736434936523 49.544403076171875, 17.267656326293945 49.544338226318359, 17.267566680908203 49.544231414794922))"
51010164,"POLYGON ((17.312705993652344 49.550537109375, 17.312503814697266 49.550479888916016, 17.312414169311523 49.550556182861328, 17.312761306762695 49.550758361816406, 17.312898635864258 49.550640106201172, 17.312705993652344 49.550537109375))"
51010247,"POLYGON ((17.250034332275391 49.621257781982422, 17.249963760375977 49.621246337890625, 17.249904632568359 49.621330261230469, 17.249860763549805 49.621387481689453, 17.24986457824707 49.621444702148438, 17.249942779541016 49.621494293212891, 17.250022888183594 49.621524810791016, 17.250053405761719 49.621524810791016, 17.250143051147461 49.621486663818359, 17.250152587890625 49.621402740478516, 17.250110626220703 49.621322631835938, 17.250034332275391 49.621257781982422))"
51010248,"POLYGON ((17.240791320800781 49.627178192138672, 17.240816116333008 49.627105712890625, 17.240787506103516 49.627067565917969, 17.240694046020508 49.627040863037109, 17.2406063079834 49.626983642578125, 17.240570068359375 49.626911163330078, 17.240562438964844 49.626796722412109, 17.240631103515625 49.626708984375, 17.240655899047852 49.626640319824219, 17.240669250488281 49.626605987548828, 17.240663528442383 49.626510620117188, 17.240638732910156 49.626399993896484, 17.240556716918945 49.626319885253906, 17.24041748046875 49.626274108886719, 17.240318298339844 49.626293182373047, 17.240242004394531 49.6263427734375, 17.240192413330078 49.626235961914062, 17.240093231201172 49.626190185546875, 17.240034103393555 49.6262321472168, 17.239992141723633 49.626365661621094, 17.2399845123291 49.626514434814453, 17.240062713623047 49.626655578613281, 17.240089416503906 49.626758575439453, 17.240001678466797 49.626884460449219, 17.239969253540039 49.626995086669922, 17.239927291870117 49.627082824707031, 17.240009307861328 49.627155303955078, 17.240131378173828 49.627178192138672, 17.240251541137695 49.627147674560547, 17.240341186523438 49.627105712890625, 17.240436553955078 49.62713623046875, 17.240360260009766 49.62725830078125, 17.240440368652344 49.627296447753906, 17.240541458129883 49.627254486083984, 17.240680694580078 49.627231597900391, 17.240791320800781 49.627178192138672))"
51010249,"POLYGON ((17.230953216552734 49.587638854980469, 17.230876922607422 49.587623596191406, 17.230810165405273 49.5876350402832, 17.230756759643555 49.587665557861328, 17.230737686157227 49.587711334228516, 17.230743408203125 49.587749481201172, 17.230779647827148 49.5877799987793, 17.230842590332031 49.587799072265625, 17.230922698974609 49.587814331054688, 17.230981826782227 49.587841033935547, 17.231136322021484 49.587993621826172, 17.231174468994141 49.5880241394043, 17.231210708618164 49.588035583496094, 17.231260299682617 49.588031768798828, 17.231304168701172 49.587997436523438, 17.231340408325195 49.587963104248047, 17.231428146362305 49.587932586669922, 17.231433868408203 49.587917327880859, 17.231433868408203 49.587898254394531, 17.231405258178711 49.587875366210938, 17.231332778930664 49.587852478027344, 17.231258392333984 49.587825775146484, 17.231199264526367 49.587783813476562, 17.231115341186523 49.587730407714844, 17.231039047241211 49.587680816650391, 17.230953216552734 49.587638854980469))"
51010250,"POLYGON ((17.385576248168945 49.5771484375, 17.385435104370117 49.577095031738281, 17.385347366333008 49.577114105224609, 17.385354995727539 49.577175140380859, 17.385528564453125 49.577304840087891, 17.385608673095703 49.57733154296875, 17.385696411132812 49.577316284179688, 17.385705947875977 49.577278137207031, 17.38568115234375 49.577228546142578, 17.385576248168945 49.5771484375))"
51010251,"POLYGON ((17.2288875579834 49.633132934570312, 17.228799819946289 49.633102416992188, 17.228700637817383 49.63311767578125, 17.228654861450195 49.633171081542969, 17.228668212890625 49.633251190185547, 17.2286319732666 49.633354187011719, 17.228691101074219 49.633476257324219, 17.228839874267578 49.633552551269531, 17.229047775268555 49.633594512939453, 17.229217529296875 49.633644104003906, 17.229354858398438 49.633674621582031, 17.229433059692383 49.633640289306641, 17.229419708251953 49.633560180664062, 17.229328155517578 49.633495330810547, 17.229183197021484 49.633460998535156, 17.229040145874023 49.633449554443359, 17.228919982910156 49.6334228515625, 17.228872299194336 49.633354187011719, 17.228902816772461 49.633262634277344, 17.228923797607422 49.6331901550293, 17.2288875579834 49.633132934570312))"
51010255,"POLYGON ((17.228546142578125 49.571254730224609, 17.228525161743164 49.57122802734375, 17.2285213470459 49.571220397949219, 17.228422164916992 49.571243286132812, 17.228187561035156 49.571418762207031, 17.228191375732422 49.571464538574219, 17.228252410888672 49.571495056152344, 17.228317260742188 49.571502685546875, 17.2283992767334 49.571456909179688, 17.22846794128418 49.571407318115234, 17.228494644165039 49.571353912353516, 17.228519439697266 49.571304321289062, 17.228546142578125 49.571254730224609))"
51010257,"POLYGON ((17.365650177001953 49.623634338378906, 17.365577697753906 49.623600006103516, 17.365503311157227 49.623603820800781, 17.365434646606445 49.623630523681641, 17.365055084228516 49.623863220214844, 17.3653507232666 49.624130249023438, 17.365737915039062 49.624382019042969, 17.365985870361328 49.624542236328125, 17.366331100463867 49.624904632568359, 17.366508483886719 49.625171661376953, 17.366657257080078 49.625289916992188, 17.366735458374023 49.625324249267578, 17.366779327392578 49.625320434570312, 17.3668270111084 49.625282287597656, 17.3668212890625 49.625202178955078, 17.366769790649414 49.625091552734375, 17.366683959960938 49.624935150146484, 17.36662483215332 49.624759674072266, 17.366561889648438 49.624599456787109, 17.366474151611328 49.624443054199219, 17.366384506225586 49.624313354492188, 17.366266250610352 49.624179840087891, 17.366113662719727 49.624065399169922, 17.3659610748291 49.623939514160156, 17.365791320800781 49.623786926269531, 17.3657283782959 49.623771667480469, 17.365650177001953 49.623634338378906))"
51013538,"POLYGON ((17.1425724029541 49.645282745361328, 17.142528533935547 49.645267486572266, 17.142482757568359 49.645271301269531, 17.142280578613281 49.645328521728516, 17.142276763916016 49.645347595214844, 17.142471313476562 49.645637512207031, 17.142494201660156 49.645656585693359, 17.142536163330078 49.645660400390625, 17.1425838470459 49.645656585693359, 17.14271354675293 49.645610809326172, 17.142736434936523 49.645595550537109, 17.142753601074219 49.645580291748047, 17.1425724029541 49.645282745361328))"
51018501,"POLYGON ((17.264169692993164 49.566410064697266, 17.264137268066406 49.56640625, 17.264102935791016 49.56640625, 17.264070510864258 49.566410064697266, 17.2640380859375 49.5664176940918, 17.264011383056641 49.566432952880859, 17.263988494873047 49.566448211669922, 17.263969421386719 49.56646728515625, 17.263957977294922 49.566486358642578, 17.263952255249023 49.566509246826172, 17.263954162597656 49.566532135009766, 17.26396369934082 49.566551208496094, 17.263978958129883 49.566574096679688, 17.263999938964844 49.56658935546875, 17.26402473449707 49.566604614257812, 17.264055252075195 49.566616058349609, 17.264122009277344 49.566623687744141, 17.264156341552734 49.566623687744141, 17.264188766479492 49.566616058349609, 17.264219284057617 49.566604614257812, 17.264245986938477 49.56658935546875, 17.264266967773438 49.566574096679688, 17.264280319213867 49.566551208496094, 17.264289855957031 49.566532135009766, 17.264291763305664 49.566509246826172, 17.264286041259766 49.566486358642578, 17.264272689819336 49.566463470458984, 17.264255523681641 49.566444396972656, 17.264230728149414 49.566429138183594, 17.264202117919922 49.5664176940918, 17.264169692993164 49.566410064697266))"
51018503,"POLYGON ((17.275907516479492 49.563758850097656, 17.275909423828125 49.563747406005859, 17.275785446166992 49.563743591308594, 17.275724411010742 49.5637092590332, 17.275705337524414 49.563697814941406, 17.275768280029297 49.5633659362793, 17.275844573974609 49.563323974609375, 17.276100158691406 49.563297271728516, 17.276168823242188 49.563259124755859, 17.276145935058594 49.5632209777832, 17.276065826416016 49.563186645507812, 17.276008605957031 49.56317138671875, 17.275806427001953 49.563148498535156, 17.275669097900391 49.563144683837891, 17.275602340698242 49.563194274902344, 17.275484085083008 49.564624786376953, 17.275636672973633 49.564682006835938, 17.2758731842041 49.564693450927734, 17.275985717773438 49.564617156982422, 17.276092529296875 49.563907623291016, 17.276084899902344 49.563835144042969, 17.276025772094727 49.563777923583984, 17.275907516479492 49.563758850097656))"
