WKT,name,waterway
"LINESTRING (20.0698872 49.0835821,20.0702624 49.0834945)",,stream
"LINESTRING (20.0796926 49.0811818,20.0795317 49.0808375)",,stream
"LINESTRING (20.0795317 49.0808375,20.0792634 49.0804861,20.0789845 49.0802823,20.0787055 49.0801488,20.0785446 49.0798818,20.0785661 49.0795585,20.0783837 49.0794039,20.0778258 49.0790314,20.077461 49.0789401,20.0767248 49.0786439)",,stream
"LINESTRING (20.1750076 49.1061505,20.1750344 49.1058801,20.1749539 49.1057045,20.174734 49.1054902,20.174396 49.1054165,20.1741761 49.1053181,20.1738006 49.1050512,20.1733446 49.1046684,20.1728833 49.1042119)",,stream
"LINESTRING (20.1757479 49.1106876,20.1760054 49.1105471,20.1761556 49.1103013,20.1766598 49.1100274,20.1770675 49.1097746,20.1775384 49.1092641)",,stream
"LINESTRING (20.1755825 49.1150604,20.1758122 49.1148978,20.1758391 49.1147468,20.1757693 49.1145993,20.1758605 49.1145221,20.1760322 49.1144553,20.1759624 49.1143219,20.1760483 49.1141569,20.1761663 49.1140129,20.1761609 49.1138198,20.1763272 49.1137425,20.1765901 49.1136302,20.1766491 49.1134195,20.1767993 49.1132369,20.1770782 49.1131105,20.1771533 49.11297,20.1773572 49.1128823,20.1776469 49.1128893,20.1778614 49.1128542,20.1779956 49.1127172,20.1781994 49.1126646,20.1783764 49.1126049,20.1785266 49.1125311,20.1787257 49.1123998,20.1789826 49.1122221,20.1795244 49.1120922,20.1797551 49.1119342,20.1798356 49.1117656,20.1798677 49.1116392,20.1801842 49.1115901,20.1802272 49.1115093,20.1802057 49.1113443,20.180431 49.1112038,20.1806402 49.1112424,20.1807207 49.1111371,20.1808977 49.111109,20.1809621 49.1110177,20.1810318 49.1109053,20.1810157 49.1107087,20.181064 49.1105436,20.1810801 49.1104909,20.1810962 49.1103926,20.1812088 49.1102451,20.1815253 49.1099256,20.1816863 49.1097465,20.182035 49.1094726,20.1821744 49.1093427,20.1824319 49.1091811,20.1827002 49.1089458,20.1827967 49.1086965,20.1828664 49.1085069,20.1830971 49.1083383,20.183419 49.1082646,20.1836443 49.1080714,20.1840091 49.1078888,20.1842451 49.1077905,20.1844114 49.1077694,20.1846904 49.1076219,20.18498 49.1075341,20.1851249 49.1074147,20.1854736 49.1073796,20.1857364 49.1073445,20.1860672 49.1072539,20.1863319 49.1070846,20.1866913 49.1070038,20.1870078 49.1069266,20.1872063 49.1069617,20.1874798 49.1069828,20.1876569 49.1068985,20.1880914 49.1066175,20.188424 49.1065087,20.1888585 49.1064516,20.1890838 49.1064806,20.1895881 49.1063682,20.1898509 49.1063998,20.1903874 49.1062383,20.1909292 49.1061048,20.191133 49.1059608,20.1915528 49.1059696,20.191742 49.105974)",,stream
"LINESTRING (20.1800287 49.1187284,20.1797283 49.1184545,20.1795566 49.1181456,20.1800072 49.1178155,20.1803827 49.1174644,20.1805513 49.1172387,20.1806188 49.1171484,20.1805437 49.1167482,20.1804042 49.1165234,20.1805222 49.1161653,20.1805437 49.1159546,20.1807046 49.1155825,20.1805437 49.1150979,20.1805115 49.1148872,20.1806831 49.1145502,20.1806295 49.1142341,20.1804149 49.1139462,20.1802122 49.1136286,20.1800823 49.1133703,20.180372 49.1131316,20.1803613 49.1128717,20.1802003 49.1124363,20.1800287 49.1122678,20.1797551 49.1119342)",,stream
"LINESTRING (20.1809192 49.1263536,20.1809621 49.1262343,20.1808226 49.1260447,20.1807475 49.1258552,20.1808655 49.1254901,20.1809835 49.1251671,20.1810157 49.1249003,20.1812303 49.1245914,20.1813421 49.1243583,20.1815253 49.1240262,20.1815683 49.1237594,20.1815629 49.1235733,20.181638 49.1232889,20.1817399 49.1231345,20.1816487 49.1229589,20.1815253 49.1227518,20.1813161 49.1225201,20.1813185 49.1224692,20.1811606 49.1223551,20.1811445 49.1222252,20.1812357 49.122011,20.1811391 49.1219478,20.181064 49.121832,20.1812142 49.1216494,20.1813161 49.1213826,20.1813215 49.1211755,20.1812303 49.1209789,20.1812947 49.1207226,20.1814127 49.1205225,20.1813751 49.1203539,20.1812732 49.120224,20.181359 49.1199397,20.18152 49.1197255,20.1815039 49.1195078,20.181638 49.1191708,20.1818687 49.1189426,20.1819599 49.1186792,20.1819545 49.1184756,20.1815146 49.1180929,20.1810318 49.1176716,20.1805513 49.1172387)",,stream
"LINESTRING (20.1846582 49.1288179,20.1848781 49.1286143,20.1850122 49.128337,20.1851034 49.1281018,20.1854092 49.1276349,20.1855755 49.1274454,20.1858115 49.1271751,20.186246 49.1266801,20.1862729 49.126466,20.1865894 49.1259499,20.1866801 49.1257469,20.1866859 49.1256024,20.1863265 49.1253777,20.1863909 49.1252514,20.1865894 49.1251425,20.1868629 49.1250442,20.1869005 49.1249214,20.1872653 49.1248722,20.1874638 49.1246791,20.1878661 49.1243562,20.1880324 49.124128,20.188601 49.123812,20.18888 49.1235628,20.1892769 49.1231415,20.189454 49.1228817,20.1897436 49.1227272,20.1897812 49.1224394,20.1899689 49.1222743,20.1901782 49.1221269,20.1902103 49.1218952,20.1902908 49.1215371,20.1904625 49.1212668,20.1909023 49.1207963,20.1910633 49.1205154,20.1912296 49.1202627,20.1917124 49.1197711,20.1919967 49.1194973,20.1922542 49.1191673,20.1927745 49.1187354,20.1933646 49.1184686,20.1938903 49.1180999,20.1947594 49.1176786,20.1949096 49.1174153,20.1954138 49.117187,20.1958108 49.116871,20.196252 49.11634,20.1963097 49.1162706,20.1969802 49.1156913,20.197345 49.115298,20.1981014 49.1146098,20.1987612 49.1136793,20.1995498 49.1128752,20.1998073 49.1125522,20.2005047 49.112022,20.2006495 49.1118359,20.2013737 49.1116111,20.201776 49.1113583,20.2019182 49.1110528,20.2020952 49.1110493,20.2021649 49.1109088,20.2022696 49.1108632,20.2023755 49.1108632,20.2026491 49.1107692,20.202814 49.110634,20.2028932 49.1106305,20.203034 49.1106042,20.2031855 49.1105252,20.2032325 49.1104672,20.2032271 49.1103549,20.2032204 49.1102381,20.203274 49.1101784,20.2035074 49.1100845,20.2035838 49.1100818,20.2039231 49.1099133,20.2040492 49.1098492,20.2041994 49.1098115,20.2044435 49.1098088,20.2045632 49.1097665,20.2046074 49.1097496,20.2046879 49.1097412,20.2047187 49.1097456,20.204763 49.1097548,20.2048156 49.1097496,20.2048525 49.1097357,20.2048693 49.1097096,20.2048834 49.1096864,20.2049176 49.1096706,20.2049608 49.1096633,20.2050795 49.1096598,20.2051499 49.1096389,20.2051757 49.1096163,20.2052267 49.1095964,20.2054205 49.1095389,20.2055077 49.1094994,20.2056216 49.1094313,20.2057102 49.1093527,20.2057759 49.109265,20.2058161 49.1091837,20.2059013 49.1090464,20.2060059 49.1089423,20.2061668 49.108779,20.2065235 49.1086904,20.2067851 49.1086482,20.20695 49.1086447,20.2072088 49.1085991,20.2073872 49.1085481,20.2074569 49.1085683,20.2074838 49.1086149,20.2075414 49.1086061,20.2075683 49.1085595,20.2076112 49.1085139,20.207642 49.1085139,20.2077909 49.1085534,20.207874 49.108556,20.2079612 49.1085227,20.207992 49.1084656,20.2081114 49.108427,20.2082241 49.1084226,20.2084212 49.1084112,20.2086519 49.108355,20.2092715 49.1082084,20.209545 49.1081215,20.2096966 49.1081118,20.2097717 49.1081417,20.2098253 49.1081768,20.2099621 49.1082075,20.210115 49.1081741,20.2101941 49.1081434,20.2102934 49.1080741,20.210398 49.1081083,20.2104275 49.1081188,20.2105965 49.1081144,20.2107494 49.108096,20.2109559 49.1081057,20.2110498 49.1081197,20.2112751 49.1081504,20.2113703 49.1081943,20.2116895 49.1081101,20.2132452 49.1079503,20.2138379 49.1078274,20.2143502 49.1076693,20.2146775 49.107715,20.2154499 49.1076184,20.2160159 49.1073708,20.2164879 49.1073445,20.2167991 49.107276,20.2170566 49.1073445,20.2173489 49.107334,20.2176252 49.1072549,20.2177942 49.1072128,20.2181858 49.1072181,20.2182662 49.1071882,20.218395 49.1071952,20.2184567 49.107125,20.2184728 49.1070319,20.2186806 49.1069819,20.2192392 49.1069481,20.2194095 49.10697,20.2194719 49.1069766,20.2196067 49.1069169,20.2196791 49.1069125,20.2198454 49.106913,20.2200325 49.1069419,20.2201632 49.1069279,20.2203 49.106909,20.2204348 49.1069134,20.2205455 49.1068831,20.2206071 49.1068642,20.2206427 49.1068524,20.2206822 49.1068199,20.2207513 49.1067633,20.2208968 49.1067541,20.2209464 49.1067225,20.221049 49.1067067,20.2210785 49.1066966,20.2211376 49.1066483,20.2212328 49.1066544,20.2213119 49.106643,20.2215815 49.1066693,20.2217089 49.1066922,20.221965 49.1066228,20.2226087 49.1064121,20.2228448 49.1062664,20.2237138 49.1062751,20.2238721 49.1062242,20.2239364 49.1061347,20.2240236 49.1060697,20.2241604 49.106053,20.224269 49.1060548,20.2244407 49.1059977,20.2246432 49.105873,20.2250965 49.1057879,20.2253942 49.1056342,20.2255055 49.1056184,20.2256799 49.1055043,20.2258623 49.1054841,20.2260353 49.1055262,20.2261694 49.1054683,20.2263477 49.1053612,20.2268775 49.105233,20.2273536 49.104974,20.2278069 49.1048335,20.2279048 49.1047791,20.2279048 49.1047,20.2279825 49.1046579,20.228114 49.1046263,20.2283473 49.1046412,20.22846 49.104657,20.2286611 49.1046983,20.2287872 49.1046816,20.2289347 49.1046298,20.2290514 49.1046324,20.2291936 49.1046403,20.2292888 49.1046175,20.2293344 49.1045648,20.2293666 49.1045051,20.229443 49.1044287,20.2299513 49.1044287,20.2302557 49.1044287,20.2302786 49.104433,20.2304743 49.1044489,20.2305964 49.10447,20.2309746 49.1045613,20.2320206 49.103074,20.2328253 49.1027649,20.2347886 49.1023926,20.2359795 49.1011704,20.2373367 49.100496,20.2395791 49.0994318,20.2414781 49.0982341,20.2440637 49.0972892,20.2445197 49.0970925,20.2467835 49.0970293,20.2473897 49.0969169,20.2484035 49.0965095,20.2502596 49.096116,20.2507492 49.0959118)",,stream
"LINESTRING (20.1952904 49.1164954,20.1956284 49.1164111,20.196252 49.11634)",,stream
