WKT,name,waterway
"LINESTRING (20.098232 48.9901657,20.098629 48.989863,20.0991762 48.9894265,20.0995030458988 48.9892003677656)",,stream
"LINESTRING (20.1019129365388 48.9890919232909,20.1020193 48.9891238,20.1022842285335 48.9890752152443)",,stream
"LINESTRING (20.1075652076812 48.9888375725064,20.1076841 48.9889618,20.1081133 48.989159,20.1088536 48.9892716,20.1095295 48.989335,20.1105487 48.989342,20.1113963 48.9892223,20.1120078 48.989349,20.1127052 48.9893244)",,stream
"LINESTRING (20.1320702712246 48.9877348507898,20.1323604 48.9881803,20.1326072 48.9885816,20.132693 48.9889266,20.132736 48.9893209,20.1328862 48.9895954,20.1333773 48.9898524)",,stream
"LINESTRING (20.1221895 48.9954948,20.1219052 48.9952062,20.1215512 48.9949528,20.1212293 48.9946923,20.1210072 48.9945564,20.1209754 48.9945277)",,stream
"LINESTRING (20.1246518 48.9954033,20.1249736 48.9951499,20.1252848 48.9949563,20.1255798 48.9947979,20.1257783 48.9946113,20.1259929 48.9942559,20.1261324 48.9940341,20.126422 48.9938229,20.1268083 48.9936892,20.1274842 48.9934674,20.1277524 48.993309,20.1278559 48.9929747)",,stream
"LINESTRING (20.1268351 48.9982682,20.1270604 48.9978952,20.1274252 48.9976629,20.1278651 48.9975362,20.1282191 48.9974588,20.1286805 48.9968675,20.1289165 48.9964451,20.129528 48.9959664,20.1301288 48.9956497,20.1309228 48.9950865,20.1313305 48.9947557,20.1316309 48.9944178,20.1323926 48.993932,20.1329398 48.9936786,20.1331544 48.9933266,20.1332796 48.993066)",,stream
"LINESTRING (20.1307297 48.9999576,20.1303971 48.9996619,20.1297641 48.9992396,20.1294744 48.9989088,20.1291203 48.998402,20.1289165 48.9978459,20.1286697 48.9975151,20.1286805 48.9968675)",,stream
"LINESTRING (20.1359439 49.0036598,20.1362121 49.0029067,20.1364267 49.0023929,20.1365018 49.0019706,20.1367593 49.0013583,20.1363516 49.0009148,20.136255 49.0006896,20.136491 49.0003377,20.1366949 48.9999787,20.1366842 48.9998098,20.1364803 48.9993945,20.1360941 48.99912,20.1360297 48.9988173,20.1360726 48.9984301,20.1363087 48.9979585,20.1366413 48.9975855,20.1375854 48.9974517,20.1380253 48.9972335,20.138315 48.9968745,20.1386905 48.9966915,20.1404285 48.996424,20.1411688 48.9962762,20.1423275 48.9960368,20.1429498 48.9960298,20.143615 48.9960509,20.1440442 48.995896,20.1460504 48.9955159,20.1469087 48.9952625,20.1476598 48.9951217,20.148164 48.9949809,20.1487005 48.9950302,20.1491082 48.9948331,20.1497519 48.9944459,20.1501703 48.9944037,20.1502286 48.9943915,20.1504064 48.9943544,20.1507336 48.9943051,20.1509026 48.9942699,20.1510796 48.9941186,20.1512191 48.9940271,20.1515007 48.9939162,20.1517662 48.9938352,20.1519674 48.9937772,20.1520168 48.9937456,20.1522231 48.9936161,20.1523236 48.99351,20.1523718 48.9934864)",,stream
"LINESTRING (20.2924965 49.0537952,20.2923195 49.0540333,20.2922837 49.0541443,20.2923065 49.0542553,20.2923683 49.0543556,20.2924986 49.0544517,20.2925874 49.0545771)",,stream
"LINESTRING (20.2413601 49.1370979,20.2413171 49.1369891,20.2412796 49.1368628,20.2410757 49.136754,20.2409846 49.1366382,20.2409148 49.1365364,20.241065 49.1363609,20.2412635 49.1362135,20.2414352 49.136052,20.2414781 49.1359327,20.2415907 49.1358344,20.2418375 49.1358134,20.2422023 49.1357186,20.2424544 49.1356379,20.2426422 49.1355993,20.2428138 49.1354905,20.2429748 49.1352588,20.2432108 49.1351921,20.2433342 49.1350658,20.2435648 49.1349219,20.2438116 49.1349008,20.2439833 49.1348131,20.244171 49.1347113,20.2443266 49.1346762,20.2443534 49.1345779,20.2444124 49.1345323,20.2444982 49.1345849,20.2446914 49.1344972,20.2447879 49.13442,20.2449059 49.134441,20.2450347 49.1343884,20.2450776 49.1342936,20.2452493 49.1343112,20.2454638 49.1342375,20.2456838 49.1341743,20.2459413 49.1341216,20.246011 49.1342375,20.246231 49.1342304,20.2465528 49.1341638,20.246864 49.1341392,20.2471107 49.1340971,20.2472287 49.1340128,20.2472717 49.133911,20.2473629 49.1338882,20.2474098 49.133897,20.2474715 49.1339128,20.2475975 49.1338909,20.2476405 49.1339251,20.2476968 49.133904,20.2476847 49.1338637,20.2477303 49.1338496,20.2477263 49.1337917,20.2476914 49.1337434,20.2477236 49.1336855,20.2478148 49.1336776,20.2479154 49.133668,20.2479905 49.1336109,20.2480213 49.1335767,20.2480213 49.1334846,20.2479905 49.1334135,20.2479529 49.1333609,20.2480455 49.1333328,20.2481501 49.1333372,20.2482574 49.1333337,20.2483888 49.1333144,20.2484398 49.1332915,20.2485913 49.1331915,20.2487308 49.1330581,20.2488086 49.1329704,20.2490044 49.1329037,20.2492109 49.1328317,20.2492779 49.1327422,20.2496347 49.1324614,20.2497983 49.1323491,20.2498037 49.1322894,20.2497822 49.1321455,20.2497902 49.1321017,20.2497447 49.1319525,20.2498358 49.1319946,20.2499512 49.1319419,20.2500772 49.1319068,20.2502274 49.1319086,20.2503669 49.1319086,20.2505037 49.1318226,20.2506351 49.1316682,20.2508926 49.13154,20.2510589 49.1314769,20.251134 49.1315067,20.2511501 49.1315874,20.2513003 49.131619,20.2513969 49.1315558,20.2514639 49.1314479,20.2515256 49.1314093,20.2516919 49.1314005,20.2518328 49.1313689,20.2519199 49.1313031,20.2519374 49.1312487,20.2519186 49.1311478,20.2519669 49.1310785,20.251991 49.1310232,20.2519937 49.1309749,20.2520149 49.1309225,20.2520232 49.1309021,20.2520661 49.1308336,20.252215 49.1307178,20.2522512 49.1307099,20.2523263 49.1307485,20.2524054 49.1307301,20.2524832 49.1306713,20.2526535 49.1305441,20.2527072 49.1305344,20.2528815 49.13053,20.2530035 49.130494,20.2530652 49.1305379,20.2531376 49.1305528,20.2531859 49.1305125,20.2531524 49.1304545,20.2533589 49.1304072,20.2533908 49.1303354,20.2534971 49.1302983,20.2535836 49.1303189,20.2537425 49.1303071,20.2537666 49.1302817,20.2538055 49.1302062,20.253953 49.1301641,20.2541622 49.13015,20.2543581 49.1301342,20.2544251 49.1300693,20.2544573 49.1300395,20.2545619 49.1300693,20.2546102 49.1299763,20.2545619 49.1298815,20.2546155 49.1298218,20.2547818 49.1298464,20.2549803 49.1298727,20.2549696 49.1297832,20.2551708 49.1296797,20.25527 49.1295831,20.2554524 49.1294515,20.255565 49.1293567,20.2559191 49.1290197,20.2562195 49.1288916,20.2564448 49.12876,20.256646 49.1285933,20.2569142 49.1285037,20.257062 49.1285013,20.2572387 49.1284985,20.2576491 49.1284721,20.2579683 49.1284283,20.2582231 49.1284476,20.2584538 49.128437,20.2589178 49.1281983,20.2593577 49.1277999,20.2595562 49.1276455,20.259878 49.1275612,20.2601623 49.1272348,20.260275 49.1271259,20.2603072 49.1270382,20.2603716 49.1269978,20.2606451 49.1268082,20.2608168 49.1266959,20.2608597 49.1265766,20.2608517 49.1264554,20.2609724 49.1263185,20.2610233 49.1262044,20.2609965 49.1260833,20.2611145 49.1258464,20.2611735 49.1256691,20.2613157 49.125541,20.2614793 49.1253988,20.2615678 49.1253058,20.2617744 49.1251811,20.2619299 49.1250477,20.2622277 49.1248827,20.2624637 49.1247722,20.2626058 49.1246563,20.2628043 49.1245141,20.2630243 49.1243421,20.2633408 49.1242122,20.2634454 49.1240858,20.2635714 49.1240156,20.2638477 49.1238629,20.2642447 49.1237172,20.2645451 49.1236576,20.2646846 49.1234785,20.264816 49.1233135,20.2650467 49.1232099,20.2652371 49.1231274,20.265503 49.1230349,20.2656709 49.1229752,20.2657219 49.1229453,20.2660096 49.1228545,20.266192 49.1227799,20.2661987 49.1227334,20.2662764 49.122686,20.2663703 49.1226912,20.2664106 49.1226675,20.2663837 49.1226131,20.2664213 49.122564,20.2665071 49.1225306,20.2666238 49.1224841,20.2668773 49.122435,20.2671307 49.1223753,20.2673389 49.1222776,20.2676846 49.1221611,20.2677329 49.1221559,20.2679676 49.1219426,20.2681956 49.1216266,20.2683189 49.1213896,20.2684692 49.1212457,20.2686837 49.1209561,20.2687991 49.1207946,20.2689359 49.1206085,20.2689546 49.1204312,20.2691141 49.120213,20.2692443 49.1200976,20.2693623 49.1199467,20.2699015 49.1196992,20.2708456 49.1194288,20.2714008 49.11909,20.2721599 49.1187705,20.2738765 49.1180788,20.2793991 49.1159266,20.2816844 49.1155333,20.2834332 49.1151681,20.2846134 49.1147608,20.2854609 49.1142482,20.2865982 49.1134757,20.2889478 49.1111301,20.2897525 49.1105261,20.2956641 49.1074498,20.2977669 49.106305,20.2992582 49.1056588,20.300492 49.1055552)",,stream
"LINESTRING (20.1218194 49.1393529,20.121873 49.1392598,20.1219052 49.1391616,20.1220554 49.1388229,20.1220125 49.1381649,20.1219267 49.137684,20.1217818 49.1372067,20.1216209 49.1364434,20.1216128 49.1362644,20.1215726 49.1360626,20.1215619 49.135938,20.1215672 49.135866,20.1216021 49.135787,20.1216692 49.1356256,20.1216397 49.1355414,20.1215109 49.1354396,20.1214305 49.1353325,20.1213849 49.1352448,20.1213607 49.1351272,20.121417 49.1349008,20.121578 49.1344902,20.1216102 49.1343147,20.12146 49.1341357,20.1214278 49.1339953,20.1215082 49.1337952,20.1215458 49.1334969,20.1214814 49.1332757,20.1214653 49.1330792,20.1214224 49.1329353,20.121358 49.1327071,20.1214707 49.1324544,20.1214653 49.1322754,20.1215512 49.1320543,20.1215512 49.1318612,20.1215082 49.1314119,20.1215351 49.1311873,20.1216155 49.1310048,20.1215458 49.130745,20.1216263 49.1305379,20.1217067 49.1303835,20.1218677 49.1301974,20.122329 49.1300114,20.1227635 49.1299236,20.1232624 49.1298148,20.123359 49.1297692,20.1236272 49.1297516,20.124051 49.1296042,20.124523 49.1294954,20.1248664 49.1293585,20.1253062 49.1291409,20.1255798 49.1289513,20.1256335 49.1287407,20.1256925 49.1284318,20.1259822 49.1281194,20.1260948 49.1279474,20.1261646 49.1276771,20.1262718 49.1274489,20.1262987 49.1270698,20.1264489 49.1266626,20.1266903 49.1264309,20.1266098 49.1259535,20.1265401 49.1258095,20.1264864 49.1254374,20.1263899 49.1250091,20.1263738 49.1245212,20.1264167 49.1242579,20.126465 49.1238577,20.1266634 49.1234715,20.126701 49.1232609,20.1269531 49.1228782,20.12711 49.1225183,20.1273394 49.1222945,20.1275164 49.1220848,20.1277953 49.1218969,20.1278873 49.1217586,20.1279911 49.1216047,20.1280662 49.1213826,20.128018 49.1212404,20.1276264 49.1210245,20.1274332 49.120849,20.1273072 49.1206805,20.1274788 49.1204487,20.12757 49.120296,20.1276409 49.1201457,20.1278836 49.1197446,20.1281103 49.119375,20.128341 49.1188537,20.1285005 49.1186716)",Hagánsky potok,stream
"LINESTRING (20.0694811311951 49.0837155697698,20.0698872 49.0835821)",,stream
"LINESTRING (20.1285005 49.1186716,20.1285771 49.1185842)",,stream
"LINESTRING (20.217365 49.0611026,20.2174428 49.060948)",,stream
"LINESTRING (20.2174428 49.060948,20.2175179 49.0608987,20.2175984 49.0609023,20.2186874 49.061013,20.2191782 49.0610323,20.2196234 49.061064,20.2200258 49.0610481,20.2202457 49.0608583,20.2205354 49.0607669,20.2214312 49.0606826,20.2218282 49.0606791,20.2229869 49.0607915,20.2241135 49.0608759,20.2248162 49.06089,20.2250522 49.0608689,20.2317792 49.0605982,20.2321708 49.0605209,20.2325624 49.0603908,20.2329326 49.0602537,20.2331632 49.0601518,20.2334583 49.0599725,20.2344936 49.0593292,20.2351088 49.058932)",,stream
"LINESTRING (20.1808897 49.0699035,20.1809889 49.0698719)",,stream
"LINESTRING (20.1809889 49.0698719,20.1812384 49.0697753,20.1820028 49.0695539,20.1825607 49.0693447,20.1828423 49.0692006,20.1835638 49.0687719,20.1841056 49.0684468,20.1844865 49.0682236,20.1850042 49.0679249,20.185259 49.0677896,20.1855996 49.0676437,20.1859698 49.0675752,20.186407 49.0675102,20.1869434 49.0674223,20.1873028 49.0673766,20.1878741 49.0672922,20.188947 49.0668652,20.1901084 49.066324,20.1907387 49.0660533,20.1909587 49.0659373,20.1911759 49.0658583,20.1914066 49.0658407,20.1916131 49.0658003,20.1917258 49.0657563,20.1918706 49.0656737,20.1919806 49.065607,20.1921791 49.0655402,20.192391 49.065505)",,stream
"LINESTRING (20.1636936 49.0799105,20.1642227 49.0800168,20.1647409 49.0799359,20.1649229 49.0799582,20.1652036 49.080037,20.1653332 49.0800551,20.1653948 49.0801541,20.165546 49.0801299,20.1658051 49.0800814,20.1660519 49.0800733,20.1663572 49.0802895,20.1668724 49.0803441,20.1670266 49.080334,20.1671006 49.0802289,20.1671685 49.0798935,20.1673906 49.0798349,20.1675633 49.079843,20.1678348 49.0798612,20.1680815 49.0796147,20.1683036 49.0794672,20.1685134 49.0794632,20.1688342 49.0795238,20.1691858 49.0795238,20.1695714 49.0795258,20.16963 49.0794632,20.1696207 49.0793359,20.1697195 49.0792874,20.1700125 49.0793359,20.1701482 49.0793561,20.1702253 49.079253,20.1702963 49.0791641,20.1704937 49.0791318,20.1705924 49.079049,20.1707219 49.0789621,20.1708484 49.0791076,20.1709841 49.0791843,20.1711075 49.0791662,20.1711322 49.0791076,20.1713111 49.0789681,20.1714962 49.0788651,20.1715795 49.0788308,20.171635 49.0788611,20.1716442 49.0789277,20.1717152 49.0789742,20.1718818 49.078958,20.1720607 49.078958,20.1720452 49.0789096,20.1719589 49.0788752,20.1719465 49.0788207,20.1719558 49.0787782,20.1720637 49.0787661,20.1721779 49.0787964,20.1722735 49.0788671,20.1723938 49.0789419,20.1724709 49.0790106,20.1725727 49.0789863,20.1726159 49.0789459,20.1726128 49.0789237,20.172548 49.0788328,20.1725511 49.0787701,20.1726992 49.0787035,20.1728781 49.0786974,20.1730015 49.0786469,20.1730601 49.0787075,20.1731927 49.078752,20.1734117 49.0787156,20.1738405 49.0786146,20.1739361 49.0785216,20.1739423 49.0784509,20.1740502 49.0784549,20.1741644 49.0785317,20.1742291 49.078558,20.1744111 49.078558,20.1744759 49.0785378,20.1746209 49.0785034,20.1747258 49.0785095,20.1747535 49.0784347,20.1748461 49.0783943,20.1751144 49.0783075,20.17521 49.0782266,20.1753087 49.0781519,20.1755062 49.0782064,20.1759565 49.0779579,20.1759627 49.0778872,20.1758701 49.0777841,20.1761138 49.0776831,20.176959 49.0774851,20.1771811 49.0773154,20.1774001 49.0772649,20.1778011 49.0772649,20.1779461 49.0772164,20.1780571 49.0771133,20.1782977 49.0768365,20.1786494 49.0765173,20.1789146 49.0764021,20.1790997 49.0763091,20.1791892 49.0761576,20.1792447 49.0760323,20.1791984 49.0759151,20.1793095 49.0758404,20.1796303 49.0757838,20.1799356 49.0757373,20.1804076 49.0758363,20.1805217 49.0758586,20.1806605 49.0757979,20.1810307 49.0755757,20.1811818 49.0754342,20.1813145 49.0753574,20.1815859 49.0753595,20.1817031 49.0753615,20.181771 49.0753049,20.181808 49.0751938,20.1819375 49.0751231,20.1821195 49.0750927,20.1822923 49.0750705,20.1827365 49.0752463,20.1828783 49.0752524,20.1830233 49.075212,20.183159 49.075115,20.1832331 49.0750099,20.1832855 49.0749129,20.1834675 49.0748462,20.1836711 49.074826,20.183958 49.0747634,20.1841029 49.0747028,20.1842942 49.0743795,20.1845471 49.0742966,20.1847877 49.0741572,20.1849913 49.0741249,20.1852597 49.0741269,20.1857131 49.0741936,20.1859506 49.0742279,20.186111 49.0742299,20.1864287 49.074137,20.1868821 49.0739268,20.1872276 49.0738116)",Nový potok,stream
"LINESTRING (20.1872276 49.0738116,20.187425 49.0737046)",Nový potok,stream
"LINESTRING (20.0669370311826 49.0587662696744,20.0674027 49.0586473,20.0685024 49.0584118,20.0694734 49.0578915,20.0703907 49.0574451,20.0712597 49.0572799,20.0718552 49.0570092,20.072279 49.0566893,20.0724077 49.0564678)",,stream
"LINESTRING (20.1929998 49.0654576,20.1932546 49.0654435,20.1934102 49.0654013,20.1938716 49.0653205,20.194518 49.0652854,20.1950839 49.0652291,20.1956633 49.0651764,20.1959261 49.0651237,20.1961005 49.0650762,20.196248 49.0650147,20.1963258 49.0649532,20.1963472 49.0649163,20.1964545 49.0645982,20.1965377 49.0644963,20.196645 49.0644278,20.1968434 49.0643715,20.1970795 49.0643381,20.1976615 49.0642327,20.1979271 49.0642169,20.1980987 49.06418,20.1983482 49.064122,20.1985681 49.064071,20.1986539 49.0639919,20.1988819 49.0638988,20.1991394 49.0638636,20.1993433 49.0638074,20.1995203 49.0637424,20.1997215 49.0636808,20.1999843 49.0635877,20.2001855 49.063542,20.2004725 49.0635069,20.2006602 49.0635104,20.2008373 49.0635156,20.2008936 49.0634541,20.2009258 49.0633891,20.2010626 49.0633522,20.2012289 49.0634137,20.2015078 49.0634348,20.2017277 49.0634137,20.2019665 49.0634155,20.2021033 49.0633768,20.2023125 49.0633153,20.2026182 49.0632222,20.2028918 49.0631817,20.2032217 49.0631202,20.2034631 49.0631097,20.2035812 49.0630816,20.203895 49.0630183,20.20408 49.0630534,20.2042195 49.0630218,20.2043617 49.0629357,20.2044716 49.06289,20.2046353 49.062883,20.2047774 49.062883,20.2049088 49.0628267,20.2050644 49.0628162,20.2052414 49.0628408,20.2054936 49.0628548,20.2057618 49.0628601,20.2059415 49.0627986,20.2059951 49.0627599,20.2061883 49.0627406,20.2063465 49.0626861,20.2065048 49.0625772,20.2067837 49.062491,20.2070573 49.0624102,20.2073389 49.0624682,20.2075401 49.0624489,20.2077761 49.0624049,20.2079961 49.0623504,20.2080926 49.0622784,20.2081355 49.0622274,20.208208 49.0621325,20.2083608 49.0620798,20.20879 49.0621009,20.2091843 49.0621167,20.2100882 49.0622098,20.2111316 49.06231,20.2124351 49.0624383,20.2136046 49.0625578,20.2137923 49.0625508,20.2138889 49.0623926,20.214023 49.0621519,20.2142215 49.0614049,20.2142912 49.0612959,20.2144039 49.061187,20.2146131 49.0611817,20.2152085 49.0612573,20.2158603 49.0613293,20.2165121 49.0613662,20.2167374 49.0613346,20.2169278 49.0612555)",,stream
"LINESTRING (20.1590323 49.078037,20.1600301 49.0774643,20.1605612 49.0772007,20.1609099 49.0769829,20.1611084 49.0768388,20.1613551 49.0768107,20.1615858 49.0767369,20.1619023 49.0766666,20.1622617 49.0765682,20.1624173 49.0764839,20.1627874 49.0764136,20.1632863 49.0763433,20.1636136 49.076252,20.1638496 49.0761465,20.165078 49.0754051,20.165357 49.0752469,20.1659793 49.0748323,20.1664299 49.0745336,20.1667571 49.0743895,20.1674759 49.0741224,20.1683074 49.0738554,20.1694125 49.0734969,20.1707697 49.0730682,20.1711613 49.0729311,20.1714349 49.0727835,20.1733178 49.0718382,20.1741707 49.0713849,20.1746428 49.0711845,20.1750398 49.0710404,20.1755387 49.070942,20.1768154 49.0707734,20.1787627 49.0704992,20.1791596 49.0704254,20.1795942 49.0703024,20.1806188 49.0699826,20.1808897 49.0699035)",,stream
"LINESTRING (20.192391 49.065505,20.1929998 49.0654576)",,stream
"LINESTRING (20.2169278 49.0612555,20.2172068 49.0611764)",,stream
"LINESTRING (20.2172068 49.0611764,20.217365 49.0611026)",,stream
"LINESTRING (20.2299231 49.116527,20.2300465 49.116455,20.2301565 49.1164006,20.2302423 49.1162987,20.2300546 49.1158511,20.2300063 49.1157527,20.2300492 49.1156386,20.2301243 49.1155666,20.2302289 49.1154929,20.2302745 49.1154086,20.2303174 49.1153244,20.2303603 49.1152664,20.2306232 49.115205,20.2308243 49.1152032,20.2309102 49.1151313,20.2309129 49.1149381,20.2309585 49.1147643,20.230976 49.1146217)",,stream
"LINESTRING (20.2311772 49.1145356,20.2314815 49.1146063,20.2316478 49.1146256,20.2318409 49.1146046,20.2319884 49.1146028,20.2321279 49.1144606,20.2322701 49.1144589,20.2324337 49.1144308,20.2325946 49.1143851,20.2326053 49.1143026,20.2327904 49.1142991,20.2329004 49.1142745,20.2329996 49.1142166,20.2330184 49.1141516,20.2331418 49.1141744,20.2333242 49.1141095,20.2334744 49.1140867,20.2336353 49.1140586,20.2337372 49.1141042,20.2337936 49.114113,20.2338123 49.1139602,20.2339438 49.1139462,20.2340913 49.1139567,20.2342683 49.1139006,20.2343193 49.113883,20.2344185 49.1137706,20.234558 49.1137882,20.2348825 49.113811,20.2349791 49.1138496,20.235258 49.1138128,20.2354002 49.1137583,20.2353841 49.1136232,20.2353868 49.1135424,20.2355209 49.1135196,20.2356362 49.11343,20.2357757 49.1133897,20.2357891 49.1133001,20.2358589 49.1132545,20.2360252 49.1132281,20.2362317 49.1131386,20.2362987 49.1130333,20.2362478 49.1129525,20.2362666 49.1128594,20.2363443 49.112805,20.236465 49.1127488,20.2364811 49.1126646,20.2365401 49.1125627,20.2367601 49.1125329,20.2368084 49.1125855,20.2367601 49.1126558,20.2368137 49.1126944,20.2369049 49.1127242,20.237039 49.1126435,20.237141 49.1126575,20.2372134 49.1125311,20.237318 49.1124556,20.2375299 49.1123696,20.237774 49.1123292,20.2379644 49.1122695,20.2379939 49.1121923,20.2380234 49.1121062,20.2383077 49.1120167,20.2383909 49.1119342,20.2384096 49.1118429,20.2384874 49.1117867,20.2386054 49.1117586,20.2387208 49.1117358,20.2387798 49.1117024,20.2388696 49.111684,20.2389327 49.1116787,20.238926 49.1116006,20.2390051 49.1115479,20.239111 49.1114803,20.2392197 49.1114013,20.2395241 49.1113399,20.2397065 49.1113144,20.2399774 49.1112925,20.2402107 49.1112872,20.240263 49.1111897,20.2402228 49.1110941,20.240255 49.1110282,20.2403301 49.1108807,20.2403462 49.1107648,20.2404025 49.1106946,20.2405393 49.1106261,20.2405608 49.1105419,20.2406144 49.1104629,20.2406788 49.1103698,20.2407995 49.110268,20.2410141 49.1102328,20.2411509 49.1102487)",,stream
"LINESTRING (20.2048713 49.1313768,20.2051288 49.1312399,20.2052951 49.1311417,20.2054506 49.1310153,20.2055258 49.1308608,20.2055097 49.1307169,20.2056706 49.1306046,20.2056545 49.1304747,20.2057081 49.1302746,20.2057993 49.1301027,20.2058369 49.1299377,20.2058905 49.1298464,20.2059334 49.1296674,20.205912 49.1295059,20.2058798 49.1293831,20.2059549 49.1292146,20.205971 49.1290917,20.2061158 49.1289478,20.206266 49.128853,20.2062714 49.1287512,20.2063304 49.1285968,20.2064055 49.1284739,20.2065557 49.128351,20.2067167 49.1283089)",,stream
"LINESTRING (20.2023044 49.1314576,20.2023259 49.1313944,20.2024519 49.1312943,20.2025914 49.1312329,20.2026397 49.1311697,20.2027711 49.1310627,20.2029455 49.1309047,20.203034 49.1308099,20.2030286 49.1307046,20.2029884 49.1305993,20.2029884 49.1304607,20.2030259 49.1303238,20.203101 49.1302202,20.2034551 49.1300044,20.2036992 49.1298745,20.2038547 49.1297358,20.204021 49.1296604,20.2042115 49.1295972,20.2044153 49.129548,20.2045307 49.1294778,20.2047265 49.1293989,20.2048847 49.129262,20.2050135 49.1291584,20.2051315 49.1290285,20.2051958 49.128925,20.2053058 49.1288249,20.2055392 49.1287337,20.2056196 49.1286459,20.2057913 49.1286582,20.2058879 49.1286564,20.2059549 49.1285669,20.2060997 49.1285178,20.2062258 49.1284002,20.2063948 49.1282949,20.2065504 49.1282861,20.2067167 49.1283089,20.2068615 49.1283072,20.2070332 49.1282124,20.2072611 49.1281738,20.2073872 49.1280421,20.2076098 49.1280351,20.2077547 49.1280246,20.2079478 49.1279632,20.2081141 49.1278631,20.2082455 49.1277648,20.2083099 49.1276946,20.2083018 49.127577,20.2084708 49.1274893,20.2086452 49.1274401,20.2087498 49.1274103,20.2088732 49.1272734,20.2090475 49.12714,20.2091333 49.1270592,20.2092943 49.1270154,20.209372 49.1269329,20.2095866 49.1268012,20.2096885 49.1267222,20.2097985 49.1266327,20.2098522 49.1265309,20.2100175 49.1265083)",,stream
"LINESTRING (20.2098495 49.1270171,20.2100158 49.1269276,20.210166 49.1268521,20.2103242 49.1267889,20.2104503 49.1267573,20.2105485 49.1267573,20.2107587 49.126652,20.2109089 49.1265678,20.2110001 49.1265239,20.2110806 49.1264554,20.2112442 49.1263958,20.2113783 49.1262589,20.2115124 49.1262027,20.2117914 49.1261746,20.2119631 49.1259956,20.212065 49.1258095,20.2122098 49.125641,20.2122098 49.1254479,20.2124727 49.125297,20.2129233 49.125132,20.2131754 49.1249635,20.2133846 49.1246721,20.2136207 49.1245528,20.2136341 49.1245054)",,stream
"LINESTRING (20.2079853 49.1340479,20.2079853 49.1339374,20.2080148 49.1338391,20.2079692 49.1337513,20.208039 49.1336601,20.2080658 49.1335636,20.208039 49.1334934,20.2080229 49.1334021,20.208098 49.1333126,20.2081248 49.1332073,20.2081972 49.1330862,20.2082965 49.133009,20.2085111 49.1329721,20.2085566 49.132909,20.2085727 49.1327598,20.2086934 49.1326597,20.2087364 49.1325755,20.2087444 49.1324702,20.2087632 49.1324421,20.2088222 49.1324053,20.2089429 49.1323245,20.2090046 49.1323017)",,stream
"LINESTRING (20.2085566 49.132909,20.2086908 49.1327949,20.2087632 49.1327036,20.2088222 49.1326211,20.2088866 49.1325509,20.2089509 49.1324807,20.2090153 49.1324088,20.2090046 49.1323017,20.2090877 49.1321999,20.2091575 49.1321245,20.2092192 49.1320508,20.2093881 49.1319525,20.2094391 49.1318542,20.2095625 49.1317384,20.2096885 49.1317173,20.2097771 49.1316278,20.2098951 49.1315734,20.2099138 49.1314576,20.2099809 49.131361,20.2099702 49.131261,20.2100614 49.1311645,20.2100211 49.1310399,20.2101231 49.1309275,20.2101284 49.1308591,20.2101338 49.1307801,20.2100587 49.1307397,20.2100158 49.1306801,20.2100238 49.1305625,20.2099943 49.1304905,20.2099541 49.1304221,20.2099916 49.1303308,20.2099514 49.1302536,20.2099541 49.1301869,20.2098682 49.1301255,20.2098387 49.1300535,20.2098253 49.1299517,20.2097878 49.1299061,20.209761 49.1298517,20.209761 49.1297042,20.2097261 49.1296253,20.2097905 49.1295393,20.2098307 49.1294375,20.2098173 49.1293515,20.2097985 49.129276,20.2097261 49.1292093,20.2097288 49.1291356,20.2097261 49.1290706,20.2097341 49.1289583,20.2097583 49.1288635,20.2097261 49.1287723,20.209769 49.1286863,20.2098039 49.1285757,20.2098629 49.1285336,20.2098817 49.12843,20.2099487 49.12833,20.2100319 49.1282387,20.2100238 49.1281352,20.2100158 49.1280685,20.2100211 49.1280158,20.2100292 49.1279438,20.2099916 49.1278789,20.2098924 49.1278105,20.2098307 49.1277525,20.2098334 49.1276841,20.2097663 49.1275946,20.2099273 49.1274682,20.2100855 49.1273717,20.2101821 49.1273418,20.2103457 49.1272084,20.2104852 49.1270961,20.2105898 49.1269925,20.2107131 49.1269734)",,stream
"LINESTRING (20.0741619 49.0969274,20.0741994 49.0965867,20.0741941 49.0961793,20.0743443 49.0958561,20.0743014 49.0955049,20.0739473 49.0950131,20.0738507 49.0948445,20.0738668 49.0947672,20.0739634 49.0943773,20.0741726 49.094163,20.0745893 49.0938954)",,stream
